"ANO","MES","ANO_MES","IMPUESTOS_TOTALES","IMPUESTOS_RENTA","IMPUESTOS_PROPIEDAD","IMPUESTOS_INTERNOS_MERC_SERV","IMPUESTOS_COMERCIO","IMPUESTOS_ECOLOGICOS","IMPUESTOS_DIVERSOS"
2013,1,"Jan 2013",29120,7735.9,1532.1,17939.3,1900.5,12.2,0
2013,2,"Feb 2013",27768.1,6922,4287.4,14696.6,1847.9,14.2,0
2013,3,"Mar 2013",26965.9,7748.4,2110.8,15128.9,1971.5,6.3,0
2013,4,"Apr 2013",34193.3,13954.8,2802.7,15588.6,1835.1,12.1,0
2013,5,"May 2013",28185.3,7970.1,1763,16431.4,1987.6,33.2,0
2013,6,"Jun 2013",26987.1,7922.3,1450.5,15761.2,1824.8,28.3,0
2013,7,"Jul 2013",27213,7572.3,1574.5,15940,2096.1,30.1,0
2013,8,"Aug 2013",27778.5,7353.3,1248,17169.7,1982.7,24.8,0
2013,9,"Sep 2013",26475,6996.7,1456.2,16148.2,1851.4,22.5,0
2013,10,"Oct 2013",33688.2,11610.1,2213.9,17654.7,2179.4,30.1,0
2013,11,"Nov 2013",31838.9,11103.4,1195.5,17361.5,2150.6,27.9,0
2013,12,"Dec 2013",34081.3,11963.3,1293.7,18621,2167.9,35.3,0.1
2014,1,"Jan 2014",32948.3,8858.9,1193.4,20944.8,1914.1,37.1,0
2014,2,"Feb 2014",27526.6,8169.9,1100.7,16440.4,1782,33.6,0
2014,3,"Mar 2014",29877.9,9271.9,1739.3,16698.5,2135,33.1,0.1
2014,4,"Apr 2014",50782.9,27718.5,2293.7,18540.8,2201.1,28.8,0
2014,5,"May 2014",30236.4,7977.9,1383.2,18554.8,2292.6,27.8,0.1
2014,6,"Jun 2014",28990.8,8199.1,1183.9,17484.9,2090.3,32.5,0.1
2014,7,"Jul 2014",34096.9,11924,1362,18424.2,2352.2,34.4,0.1
2014,8,"Aug 2014",29413.9,7595.1,1278.2,18215.1,2293.6,31.9,0
2014,9,"Sep 2014",28699.2,7476.9,1532.8,17483.1,2173.8,32.6,0
2014,10,"Oct 2014",35787.5,11061.4,2523.4,19702,2460.5,40.1,0.1
2014,11,"Nov 2014",30364,7483.1,1241.9,19146.5,2458,34.4,0.1
2014,12,"Dec 2014",32917.9,9361.1,1350.5,19747.4,2409.6,49.3,0
2015,1,"Jan 2015",38595.9,12754,1148.3,22417.4,2240.2,35.9,0.1
2015,2,"Feb 2015",29358,8026,1125.1,18058.5,2106.4,41.9,0.1
2015,3,"Mar 2015",31528.2,8308.7,1972.3,18745.1,2447.8,54.3,0
2015,4,"Apr 2015",44406.3,19583.8,2433.2,20052.4,2305.1,31.6,0.2
2015,5,"May 2015",32065.7,8719.7,1485.6,19215.6,2605.5,39.2,0.1
2015,6,"Jun 2015",31478.9,8295,1385.7,19313.6,2444,40.5,0.1
2015,7,"Jul 2015",35148.6,10019.4,1625.2,20511.4,2951.5,40.9,0.2
2015,8,"Aug 2015",34210.3,10489.7,1251.2,19844.5,2580,44.8,0.1
2015,9,"Sep 2015",31656.9,7394,1632.5,19835.9,2760.8,33.7,0
2015,10,"Oct 2015",36350.3,10179.2,2390.8,21015.2,2714.4,50.5,0.2
2015,11,"Nov 2015",32706.3,7920.4,1188,20585.9,2968,43.9,0.1
2015,12,"Dec 2015",35256.7,8129.3,1406.2,22686.8,2976.4,58,0
2016,1,"Jan 2016",40381.9,14692.6,1227.4,22129.7,2281.9,50.2,0.1
2016,2,"Feb 2016",31612.7,8220.5,1383.4,19591.5,2355.4,61.9,0
2016,3,"Mar 2016",37901.4,11663.3,2022.7,21328.9,2826,60.4,0.1
2016,4,"Apr 2016",44441.6,18131,2723.7,20863.1,2672.3,51.4,0.1
2016,5,"May 2016",34943.2,10056.5,1338.8,20533.9,2964.8,49.1,0.1
2016,6,"Jun 2016",35515.7,9144.2,1483.8,22174.8,2660.8,52,0.1
2016,7,"Jul 2016",36745.2,12374,1491.4,20295.2,2536.3,48.2,0.1
2016,8,"Aug 2016",35527.7,9118.5,1336,21993.7,3025.7,53.7,0.1
2016,9,"Sep 2016",36312.4,8989.3,1972.8,22442.3,2855.9,52,0.1
2016,10,"Oct 2016",39838.8,12392.7,2415.5,22111.5,2856.4,62.3,0.4
2016,11,"Nov 2016",36960.5,9503.6,1461.5,22589.4,3342.1,63.9,0
2016,12,"Dec 2016",41460,11413.3,1860.4,25001,3123.4,61.8,0.1
2017,1,"Jan 2017",45102.6,15738.5,1272.5,25528,2499.3,64.2,0.1
2017,2,"Feb 2017",35109.7,9471.4,1449.2,21661.1,2470.7,57.2,0.1
2017,3,"Mar 2017",38799.9,10213,2366.3,23117.6,3042.3,60.7,0
2017,4,"Apr 2017",45017.1,18285.6,2121.5,21882.4,2677.8,49.8,0
2017,5,"May 2017",46956,19347.7,2164.2,22390.5,2995.1,58.4,0.1
2017,6,"Jun 2017",41539.5,13383.2,1719.2,23044.3,3339.3,53.3,0.2
2017,7,"Jul 2017",38715.1,11307.6,1561.6,23014.7,2774.6,56.6,0
2017,8,"Aug 2017",40864.4,11460.4,1526.3,24853.4,2968,56.1,0.2
2017,9,"Sep 2017",37733.5,10454.1,2129.6,22555,2555.6,39.2,0
2017,10,"Oct 2017",42128.8,13017.9,2889.7,23086.6,3076.2,58.3,0.1
2017,11,"Nov 2017",41678.8,10416.6,1629.4,25821.2,3758,53.5,0.1
2017,12,"Dec 2017",44302.2,11928.3,2112.9,27015.8,3177.5,67.7,0
2018,1,"Jan 2018",56505.4,23819.5,1498.9,28214.7,2903.5,68.8,0
2018,2,"Feb 2018",38606.8,10960.3,1566.8,23280.7,2743.7,55.2,0.1
2018,3,"Mar 2018",42631.9,11304,2376.8,25778,3111.2,61.8,0.1
2018,4,"Apr 2018",51190.5,19385.3,2753.6,25997.9,2999.1,54.6,0
2018,5,"May 2018",49519.7,16344.2,2562.2,27201.1,3351.4,60.7,0.1
2018,6,"Jun 2018",42053.9,11941,1891.5,25084.8,3075,61.5,0.1
2018,7,"Jul 2018",48459.4,15682,1926.3,26697.5,4095.1,58.4,0.1
2018,8,"Aug 2018",45317.2,11800.5,1989.3,27962.4,3508,56.9,0.1
2018,9,"Sep 2018",41991.4,11384.5,2386.6,25251.2,2922.9,46,0.2
2018,10,"Oct 2018",46461.9,12500.8,3218.7,27000,3678.1,64,0.3
2018,11,"Nov 2018",45909.2,12029.5,1775.2,28200.7,3837.9,65.9,0
2018,12,"Dec 2018",46519.2,13409.5,1770.3,28045,3237.3,57,0.1
2019,1,"Jan 2019",54864.5,17271.7,1777.4,32450.6,3294.5,70,0.3
2019,2,"Feb 2019",43221.7,12598.4,1971,25564.8,3014.8,72.7,0
2019,3,"Mar 2019",47468.8,14311.4,3117.2,26707.9,3257.3,74.9,0.1
2019,4,"Apr 2019",62758.5,28385.5,3666.6,27542.2,3104.4,59.7,0.1
2019,5,"May 2019",51050.3,14774.9,2325.4,30325.1,3550.3,74.2,0.4
2019,6,"Jun 2019",46886.5,15085,1920.1,26783,3039.9,58.4,0.1
2019,7,"Jul 2019",52882.2,18060.4,2198.3,29045.9,3507.9,69.7,0
2019,8,"Aug 2019",48669.8,14105.3,2163.9,28960.7,3366.1,73.7,0.1
2019,9,"Sep 2019",47226.2,13571.2,2609.4,27725.7,3263.3,56.5,0.1
2019,10,"Oct 2019",55125.5,16773.5,3636.2,30845.4,3791.7,78.6,0.1
2019,11,"Nov 2019",47395.2,13139.8,2107.8,28427.2,3651.1,69.1,0.2
2019,12,"Dec 2019",54197.7,16203.7,2071.2,32518.1,3327.6,77,0.1
2020,1,"Jan 2020",59415,20896.6,2038.1,32927.3,3469.2,83.7,0.1
2020,2,"Feb 2020",46284.1,14072.9,1843,27228.6,3074,65.5,0.1
2020,3,"Mar 2020",41051.8,13646.4,2517.6,22199.6,2641.1,47,0.1
2020,4,"Apr 2020",32352.8,16420.6,492,13869.7,1570.5,0,0
2020,5,"May 2020",31764.9,11041.7,1039.4,18158.2,1521.7,3.9,0
2020,6,"Jun 2020",37756,10874.6,1588.7,23230.8,2030,31.9,0
2020,7,"Jul 2020",50757.8,20089.7,2388.1,25785,2433.3,61.6,0.1
2020,8,"Aug 2020",46807.2,15607.4,2080.4,26416.1,2652.9,50.3,0.1
2020,9,"Sep 2020",46215.4,14881.4,2672.5,25729.5,2871.7,60.1,0.2
2020,10,"Oct 2020",58206.1,22029.9,3604.8,29241.2,3257.1,73,0.1
2020,11,"Nov 2020",48959.5,13297.8,2131.9,29997,3464.1,68.6,0.1
2020,12,"Dec 2020",54199.2,15627.2,2854.9,31884.5,3749,83.5,0.1
2021,1,"Jan 2021",58969.4,21803.3,1866.7,32140.3,3102.7,56.4,0
2021,2,"Feb 2021",54145.3,19465.5,2499.4,28799.4,3296.9,83.9,0.2
2021,3,"Mar 2021",54462.8,15179.8,3880,31730,3571.2,101.7,0.1
2021,4,"Apr 2021",81107.6,39847.9,5507.5,32218.1,3452.8,81.3,0
2021,5,"May 2021",63187.3,22506.3,3245.7,33734.3,3609.4,91.5,0.1
2021,6,"Jun 2021",59294.3,18611.9,3207.6,33295,4086.9,92.8,0.1
2021,7,"Jul 2021",73824.5,29516.7,4944.9,35283.9,3987.3,91.4,0.3
2021,8,"Aug 2021",63973.6,21687.9,3115,34745.6,4332,92.9,0.2
2021,9,"Sep 2021",61586.9,16559.4,4107.6,36572,4257.9,89.9,0.1
2021,10,"Oct 2021",70510.8,20425,7235.2,37845.9,4908.2,96.1,0.4
2021,11,"Nov 2021",70424.1,21737.2,3762.4,39298.5,5522.5,103.4,0.1
2021,12,"Dec 2021",67633.2,17290.4,4276.2,41219.9,4726.2,120.4,0.1
2022,1,"Jan 2022",73510.4,24882.1,2422.8,41333.9,4788.7,82.7,0.2
2022,2,"Feb 2022",61880.3,16246.9,3160.1,37588.6,4778,106.1,0.6
2022,3,"Mar 2022",67118.6,18065.7,4727,39227.5,4989.4,108.8,0.2
2022,4,"Apr 2022",83697.7,36171.4,4715.4,38289.4,4434.6,86.8,0.1
2022,5,"May 2022",80535.5,30998.7,4823.7,39604.3,5006,102.5,0.3
2022,6,"Jun 2022",72133.9,21322.1,3340.1,41953.8,5413.4,104.3,0.2
2022,7,"Jul 2022",72372.1,24440.6,3396.5,39680.1,4755.8,98.9,0.2
2022,8,"Aug 2022",70101.4,19683.7,3441.1,41460.9,5422.6,92.9,0.2
2022,9,"Sep 2022",73693.3,21864.7,4491.9,41973.3,5270.1,93.2,0.1
2022,10,"Oct 2022",72416.3,22527,5624,39385.5,4785.1,94.4,0.3
2022,11,"Nov 2022",68136.2,20210.1,3201.2,39530.3,5077,117.3,0.3
2022,12,"Dec 2022",74851.4,22089.2,4018.1,43874,4748.7,121.1,0.3
2023,1,"Jan 2023",81770.4,29225,2893.2,44989.6,4572.1,0.1,445.5
2023,2,"Feb 2023",67845.7,21052.8,3129.4,39172.7,4384.6,0.1,274.2
2023,3,"Mar 2023",78084,22967.1,5476.6,44682.4,4827.4,0.5,398.1
2023,4,"Apr 2023",89348.8,39509.1,4640.9,40538.3,4559.5,0.1,286.7
2023,5,"May 2023",86408.5,34079.7,4964.3,42190.6,5040.3,0.6,432.8
2023,6,"Jun 2023",87543.1,35324.3,4855,42428.2,4822.6,0.2,312.1
2023,7,"Jul 2023",90240.5,38983.5,3417,42433,5286,0.3,495.6
2023,8,"Aug 2023",74953.7,22772.4,3131.4,43662,5273.1,0.2,275.5
2023,9,"Sep 2023",77560.2,23816,4666.2,43401.9,5551.5,0.2,297.1
2023,10,"Oct 2023",79259.1,24315.3,6149.8,42929.4,5735.1,0.4,294.6
2023,11,"Nov 2023",80806.5,25934.2,3378.9,45601.8,5769.9,0.1,352.8
2023,12,"Dec 2023",78070,24254.4,4606.9,44047.4,5043.5,0.1,355.9
2024,1,"Jan 2024",93437.8,33787.3,3217.7,50937.7,5368,126.9,0.2
2024,2,"Feb 2024",81940.5,28997.6,3868.5,44112.5,4814.9,146.7,0.3
2024,3,"Mar 2024",81804.4,26235.5,4933.2,45288.5,5214.2,132.6,0.4
2024,4,"Apr 2024",113770,52144.8,7803.9,47967.3,5717.1,136.7,0.2
2024,5,"May 2024",87609.9,28995,4123.8,48631.1,5725.1,134.4,0.5
