"ANO","MES","ANO_MES","IPC","VAR_MENSUAL_IPC","VAR_DIC_IPC","VAR_INTERANUAL_IPC","PROM12_IPC"
2009,9,"Sep 2009",68.321,0.11,4.306,-1.569,2.592
2009,10,"Oct 2009",68.478,0.23,4.545,-0.301,1.55
2009,11,"Nov 2009",69.21,1.069,5.663,4.18,1.328
2009,12,"Dec 2009",69.277,0.097,5.765,5.765,1.442
2010,1,"Jan 2010",70.186,1.313,1.313,6.853,1.709
2010,2,"Feb 2010",70.284,0.14,1.455,6.677,1.934
2010,3,"Mar 2010",70.889,0.86,2.327,7.427,2.345
2010,4,"Apr 2010",71.142,0.357,2.692,7.657,2.916
2010,5,"May 2010",71.384,0.341,3.042,7.901,3.526
2010,6,"Jun 2010",71.263,-0.17,2.867,5.438,3.961
2010,7,"Jul 2010",71.507,0.343,3.22,5.673,4.546
2010,8,"Aug 2010",71.664,0.219,3.447,5.009,5.014
2010,9,"Sep 2010",72.216,0.77,4.243,5.701,5.642
2010,10,"Oct 2010",72.703,0.675,4.947,6.171,6.196
2010,11,"Nov 2010",72.929,0.311,5.273,5.374,6.292
2010,12,"Dec 2010",73.598,0.917,6.238,6.238,6.33
2011,1,"Jan 2011",74.514,1.244,1.244,6.166,6.273
2011,2,"Feb 2011",75.41,1.202,2.461,7.292,6.329
2011,3,"Mar 2011",76.281,1.156,3.645,7.607,6.351
2011,4,"Apr 2011",76.947,0.873,4.55,8.16,6.402
2011,5,"May 2011",77.116,0.22,4.78,8.03,6.422
2011,6,"Jun 2011",77.904,1.021,5.85,9.319,6.749
2011,7,"Jul 2011",78.566,0.85,6.75,9.871,7.101
2011,8,"Aug 2011",78.956,0.496,7.28,10.175,7.531
2011,9,"Sep 2011",79.126,0.214,7.51,9.567,7.853
2011,10,"Oct 2011",79.148,0.028,7.54,8.864,8.074
2011,11,"Nov 2011",79.221,0.093,7.64,8.627,8.34
2011,12,"Dec 2011",79.31,0.111,7.76,7.76,8.459
2012,1,"Jan 2012",79.655,0.436,0.436,6.9,8.511
2012,2,"Feb 2012",79.935,0.351,0.789,6.001,8.392
2012,3,"Mar 2012",80.053,0.147,0.937,4.945,8.155
2012,4,"Apr 2012",80.06,0.009,0.947,4.046,7.795
2012,5,"May 2012",79.847,-0.267,0.677,3.541,7.406
2012,6,"Jun 2012",80.016,0.212,0.891,2.711,6.844
2012,7,"Jul 2012",79.854,-0.202,0.687,1.639,6.149
2012,8,"Aug 2012",80.664,1.014,1.707,2.163,5.484
2012,9,"Sep 2012",81.186,0.648,2.366,2.604,4.912
2012,10,"Oct 2012",81.378,0.236,2.608,2.818,4.42
2012,11,"Nov 2012",81.893,0.633,3.257,3.372,3.999
2012,12,"Dec 2012",82.408,0.629,3.907,3.907,3.695
2013,1,"Jan 2013",83.446,1.259,1.259,4.758,3.53
2013,2,"Feb 2013",83.718,0.326,1.59,4.733,3.434
2013,3,"Mar 2013",84.035,0.378,1.974,4.974,3.443
2013,4,"Apr 2013",83.983,-0.061,1.911,4.9,3.517
2013,5,"May 2013",83.828,-0.184,1.724,4.987,3.638
2013,6,"Jun 2013",83.858,0.035,1.759,4.801,3.811
2013,7,"Jul 2013",84.38,0.623,2.393,5.668,4.145
2013,8,"Aug 2013",84.94,0.663,3.072,5.301,4.406
2013,9,"Sep 2013",85.352,0.485,3.572,5.131,4.616
2013,10,"Oct 2013",85.234,-0.138,3.429,4.739,4.775
2013,11,"Nov 2013",85.286,0.06,3.492,4.143,4.837
2013,12,"Dec 2013",85.602,0.371,3.876,3.876,4.831
2014,1,"Jan 2014",85.801,0.232,0.232,2.822,4.664
2014,2,"Feb 2014",86.095,0.343,0.576,2.84,4.502
2014,3,"Mar 2014",86.544,0.521,1.101,2.987,4.333
2014,4,"Apr 2014",86.912,0.425,1.53,3.488,4.215
2014,5,"May 2014",86.927,0.017,1.548,3.696,4.108
2014,6,"Jun 2014",86.942,0.017,1.565,3.677,4.016
2014,7,"Jul 2014",87.258,0.364,1.934,3.41,3.832
2014,8,"Aug 2014",87.597,0.388,2.33,3.128,3.653
2014,9,"Sep 2014",87.766,0.193,2.528,2.828,3.463
2014,10,"Oct 2014",87.692,-0.084,2.442,2.884,3.311
2014,11,"Nov 2014",87.567,-0.143,2.296,2.675,3.19
2014,12,"Dec 2014",86.956,-0.698,1.582,1.582,2.999
2015,1,"Jan 2015",86.794,-0.186,-0.186,1.158,2.858
2015,2,"Feb 2015",86.971,0.204,0.017,1.017,2.704
2015,3,"Mar 2015",87.096,0.144,0.161,0.638,2.505
2015,4,"Apr 2015",86.875,-0.254,-0.093,-0.042,2.208
2015,5,"May 2015",87.126,0.288,0.195,0.229,1.919
2015,6,"Jun 2015",87.479,0.405,0.601,0.618,1.666
2015,7,"Jul 2015",87.692,0.244,0.846,0.498,1.425
2015,8,"Aug 2015",87.972,0.319,1.168,0.428,1.201
2015,9,"Sep 2015",88.112,0.159,1.329,0.394,0.999
2015,10,"Oct 2015",88.767,0.743,2.082,1.225,0.864
2015,11,"Nov 2015",88.914,0.166,2.251,1.538,0.772
2015,12,"Dec 2015",88.995,0.091,2.344,2.344,0.837
2016,1,"Jan 2016",88.988,-0.008,-0.008,2.527,0.951
2016,2,"Feb 2016",88.487,-0.562,-0.571,1.743,1.011
2016,3,"Mar 2016",88.48,-0.008,-0.579,1.589,1.09
2016,4,"Apr 2016",88.399,-0.091,-0.67,1.754,1.239
2016,5,"May 2016",88.62,0.25,-0.422,1.715,1.363
2016,6,"Jun 2016",89.15,0.598,0.174,1.91,1.47
2016,7,"Jul 2016",89.319,0.19,0.364,1.855,1.584
2016,8,"Aug 2016",89.267,-0.058,0.306,1.472,1.671
2016,9,"Sep 2016",89.304,0.041,0.347,1.353,1.751
2016,10,"Oct 2016",89.576,0.305,0.653,0.912,1.724
2016,11,"Nov 2016",89.694,0.131,0.786,0.877,1.668
2016,12,"Dec 2016",90.504,0.903,1.695,1.695,1.614
2017,1,"Jan 2017",91.063,0.618,0.618,2.332,1.6
2017,2,"Feb 2017",91.446,0.42,1.041,3.344,1.734
2017,3,"Mar 2017",91.262,-0.201,0.838,3.144,1.864
2017,4,"Apr 2017",91.505,0.266,1.106,3.513,2.01
2017,5,"May 2017",91.372,-0.145,0.96,3.106,2.126
2017,6,"Jun 2017",91.424,0.056,1.017,2.551,2.18
2017,7,"Jul 2017",91.586,0.177,1.195,2.538,2.237
2017,8,"Aug 2017",92.108,0.571,1.773,3.182,2.379
2017,9,"Sep 2017",92.697,0.639,2.423,3.799,2.583
2017,10,"Oct 2017",92.697,0,2.423,3.484,2.797
2017,11,"Nov 2017",93.404,0.762,3.204,4.136,3.069
2017,12,"Dec 2017",94.309,0.969,4.204,4.204,3.28
2018,1,"Jan 2018",94.581,0.289,0.289,3.863,3.408
2018,2,"Feb 2018",94.478,-0.109,0.179,3.316,3.405
2018,3,"Mar 2018",94.831,0.374,0.554,3.911,3.47
2018,4,"Apr 2018",95.207,0.396,0.952,4.046,3.515
2018,5,"May 2018",95.457,0.263,1.217,4.47,3.629
2018,6,"Jun 2018",95.656,0.208,1.428,4.629,3.801
2018,7,"Jul 2018",95.641,-0.015,1.413,4.428,3.958
2018,8,"Aug 2018",95.67,0.031,1.444,3.867,4.014
2018,9,"Sep 2018",95.744,0.077,1.522,3.287,3.97
2018,10,"Oct 2018",95.957,0.223,1.748,3.517,3.971
2018,11,"Nov 2018",95.619,-0.353,1.389,2.372,3.822
2018,12,"Dec 2018",95.413,-0.216,1.171,1.171,3.564
2019,1,"Jan 2019",95.251,-0.17,-0.17,0.708,3.296
2019,2,"Feb 2019",95.604,0.371,0.201,1.192,3.116
2019,3,"Mar 2019",96.23,0.654,0.856,1.475,2.911
2019,4,"Apr 2019",96.738,0.528,1.388,1.608,2.707
2019,5,"May 2019",96.708,-0.03,1.358,1.311,2.445
2019,6,"Jun 2019",96.532,-0.183,1.172,0.916,2.138
2019,7,"Jul 2019",96.98,0.465,1.643,1.401,1.89
2019,8,"Aug 2019",97.312,0.342,1.99,1.716,1.715
2019,9,"Sep 2019",97.68,0.378,2.376,2.022,1.613
2019,10,"Oct 2019",98.335,0.671,3.062,2.477,1.531
2019,11,"Nov 2019",98.703,0.374,3.448,3.225,1.604
2019,12,"Dec 2019",98.901,0.201,3.656,3.656,1.811
2020,1,"Jan 2020",99.225,0.327,0.327,4.172,2.098
2020,2,"Feb 2020",99.1,-0.126,0.201,3.657,2.303
2020,3,"Mar 2020",98.585,-0.52,-0.32,2.447,2.383
2020,4,"Apr 2020",97.775,-0.821,-1.139,1.073,2.337
2020,5,"May 2020",97.665,-0.113,-1.25,0.989,2.309
2020,6,"Jun 2020",99.328,1.703,0.432,2.897,2.474
2020,7,"Jul 2020",101.198,1.882,2.322,4.348,2.721
2020,8,"Aug 2020",101.985,0.778,3.118,4.803,2.98
2020,9,"Sep 2020",102.596,0.599,3.736,5.033,3.233
2020,10,"Oct 2020",103.276,0.663,4.423,5.025,3.448
2020,11,"Nov 2020",103.893,0.597,5.047,5.259,3.62
2020,12,"Dec 2020",104.394,0.482,5.554,5.554,3.781
2021,1,"Jan 2021",105.404,0.967,0.967,6.227,3.957
2021,2,"Feb 2021",106.124,0.683,1.657,7.088,4.246
2021,3,"Mar 2021",106.764,0.603,2.27,8.297,4.733
2021,4,"Apr 2021",107.206,0.414,2.694,9.645,5.443
2021,5,"May 2021",107.901,0.648,3.359,10.481,6.227
2021,6,"Jun 2021",108.585,0.634,4.015,9.319,6.76
2021,7,"Jul 2021",109.168,0.537,4.573,7.876,7.053
2021,8,"Aug 2021",110.039,0.798,5.407,7.897,7.309
2021,9,"Sep 2021",110.535,0.451,5.883,7.738,7.533
2021,10,"Oct 2021",111.244,0.641,6.562,7.715,7.754
2021,11,"Nov 2021",112.446,1.081,7.713,8.233,8
2021,12,"Dec 2021",113.263,0.727,8.496,8.496,8.243
2022,1,"Jan 2022",114.602,1.182,1.182,8.726,8.449
2022,2,"Feb 2022",115.658,0.921,2.115,8.984,8.606
2022,3,"Mar 2022",116.431,0.668,2.797,9.055,8.67
2022,4,"Apr 2022",117.544,0.956,3.78,9.643,8.677
2022,5,"May 2022",118.122,0.492,4.29,9.473,8.605
2022,6,"Jun 2022",118.877,0.639,4.957,9.478,8.624
2022,7,"Jul 2022",119.468,0.497,5.478,9.435,8.754
2022,8,"Aug 2022",119.718,0.209,5.699,8.796,8.826
2022,9,"Sep 2022",120.07,0.294,6.01,8.626,8.895
2022,10,"Oct 2022",120.405,0.279,6.306,8.235,8.933
2022,11,"Nov 2022",120.966,0.466,6.801,7.577,8.872
2022,12,"Dec 2022",122.128,0.961,7.827,7.827,8.811
2023,1,"Jan 2023",122.903,0.635,0.635,7.243,8.682
2023,2,"Feb 2023",123.035,0.107,0.743,6.378,8.457
2023,3,"Mar 2023",123.299,0.215,0.959,5.899,8.186
2023,4,"Apr 2023",123.6,0.244,1.205,5.152,7.806
2023,5,"May 2023",123.356,-0.197,1.006,4.431,7.38
2023,6,"Jun 2023",123.627,0.22,1.227,3.996,6.919
2023,7,"Jul 2023",124.188,0.454,1.687,3.951,6.462
2023,8,"Aug 2023",124.828,0.515,2.211,4.269,6.088
2023,9,"Sep 2023",125.365,0.43,2.651,4.41,5.743
2023,10,"Oct 2023",125.638,0.217,2.874,4.346,5.427
2023,11,"Nov 2023",125.809,0.137,3.014,4.004,5.134
2023,12,"Dec 2023",126.487,0.538,3.569,3.569,4.786
2024,1,"Jan 2024",126.98,0.39,0.39,3.317,4.463
2024,2,"Feb 2024",127.095,0.091,0.481,3.3,4.21
2024,3,"Mar 2024",127.473,0.298,0.78,3.385,4.003
2024,4,"Apr 2024",127.348,-0.098,0.681,3.032,3.828
2024,5,"May 2024",127.299,-0.039,0.642,3.196,3.725
1984,1,"Jan 1984",1.379,1.736,1.736,7.054,5.571
1984,2,"Feb 1984",1.418,2.811,4.597,11.183,6.008
1984,3,"Mar 1984",1.436,1.233,5.886,11.916,6.516
1984,4,"Apr 1984",1.458,1.568,7.546,14.88,7.359
1984,5,"May 1984",1.476,1.199,8.836,15.22,8.26
1984,6,"Jun 1984",1.539,4.305,13.521,19.615,9.488
1984,7,"Jul 1984",1.559,1.293,14.99,20.74,10.8
1984,8,"Aug 1984",1.566,0.455,15.513,20.13,12.012
1984,9,"Sep 1984",1.64,4.687,20.927,24.815,13.65
1984,10,"Oct 1984",1.678,2.344,23.761,26.31,15.404
1984,11,"Nov 1984",1.731,3.167,27.681,29.483,17.373
1984,12,"Dec 1984",1.88,8.58,38.636,38.636,20.152
1985,1,"Jan 1985",2.016,7.23,7.23,46.122,23.507
1985,2,"Feb 1985",2.138,6.081,13.75,50.769,26.939
1985,3,"Mar 1985",2.174,1.684,15.666,51.441,30.342
1985,4,"Apr 1985",2.197,1.051,16.882,50.671,33.385
1985,5,"May 1985",2.255,2.663,19.994,52.851,36.559
1985,6,"Jun 1985",2.282,1.197,21.431,48.296,38.955
1985,7,"Jul 1985",2.308,1.122,22.794,48.046,41.185
1985,8,"Aug 1985",2.311,0.128,22.951,47.563,43.366
1985,9,"Sep 1985",2.354,1.85,25.226,43.565,44.778
1985,10,"Oct 1985",2.369,0.625,26.008,41.153,45.812
1985,11,"Nov 1985",2.401,1.352,27.712,38.67,46.331
1985,12,"Dec 1985",2.46,2.459,30.853,30.853,45.336
1986,1,"Jan 1986",2.469,0.387,0.387,22.503,42.908
1986,2,"Feb 1986",2.44,-1.192,-0.809,14.104,39.292
1986,3,"Mar 1986",2.409,-1.263,-2.062,10.797,35.485
1986,4,"Apr 1986",2.402,-0.287,-2.344,9.329,31.798
1986,5,"May 1986",2.383,-0.786,-3.111,5.657,27.774
1986,6,"Jun 1986",2.386,0.109,-3.005,4.52,24.112
1986,7,"Jul 1986",2.4,0.61,-2.414,3.99,20.602
1986,8,"Aug 1986",2.404,0.166,-2.252,4.03,17.33
1986,9,"Sep 1986",2.467,2.592,0.282,4.788,14.466
1986,10,"Oct 1986",2.504,1.523,1.809,5.723,11.949
1986,11,"Nov 1986",2.516,0.477,2.294,4.81,9.573
1986,12,"Dec 1986",2.568,2.057,4.399,4.399,7.639
1987,1,"Jan 1987",2.55,-0.701,-0.701,3.267,6.169
1987,2,"Feb 1987",2.562,0.462,-0.243,4.995,5.461
1987,3,"Mar 1987",2.587,1,0.755,7.402,5.216
1987,4,"Apr 1987",2.633,1.76,2.528,9.607,5.269
1987,5,"May 1987",2.67,1.407,3.971,12.03,5.802
1987,6,"Jun 1987",2.762,3.463,7.571,15.783,6.734
1987,7,"Jul 1987",2.815,1.899,9.614,17.266,7.832
1987,8,"Aug 1987",2.819,0.172,9.802,17.274,8.923
1987,9,"Sep 1987",2.859,1.388,11.326,15.897,9.852
1987,10,"Oct 1987",2.91,1.793,13.322,16.205,10.734
1987,11,"Nov 1987",3.008,3.379,17.151,19.561,11.98
1987,12,"Dec 1987",3.15,4.713,22.672,22.672,13.551
1988,1,"Jan 1988",3.272,3.863,3.863,28.311,15.693
1988,2,"Feb 1988",3.36,2.714,6.683,31.189,17.919
1988,3,"Mar 1988",3.453,2.761,9.628,33.476,20.125
1988,4,"Apr 1988",3.481,0.807,10.513,32.226,22.032
1988,5,"May 1988",3.561,2.297,13.052,33.387,23.822
1988,6,"Jun 1988",3.78,6.159,20.015,36.864,25.625
1988,7,"Jul 1988",4.07,7.647,29.193,44.585,27.991
1988,8,"Aug 1988",4.275,5.054,35.722,51.63,30.929
1988,9,"Sep 1988",4.411,3.183,40.042,54.315,34.193
1988,10,"Oct 1988",4.586,3.964,45.592,57.606,37.702
1988,11,"Nov 1988",4.783,4.299,51.852,59.009,41.054
1988,12,"Dec 1988",4.908,2.599,55.798,55.798,43.864
1989,1,"Jan 1989",4.975,1.379,1.379,52.072,45.817
1989,2,"Feb 1989",5.003,0.557,1.944,48.877,47.188
1989,3,"Mar 1989",5.065,1.239,3.206,46.671,48.131
1989,4,"Apr 1989",5.168,2.03,5.302,48.451,49.307
1989,5,"May 1989",5.333,3.192,8.663,49.75,50.484
